"value","lang","property","count","alternative_label","alternative_lang"
Pensionierung,de,hasSubject,109,,
Urteil,de,hasSubject,109,,
Benachrichtigung,de,hasSubject,108,,
D.J.BEN,de,hasSubject,108,,
leisure conversation,en,hasSubject,105,,
D.J.PKL,de,hasSubject,100,,
Protokoll,de,hasSubject,100,,
D.J.PKG,de,hasSubject,95,,
Privatanklage,de,hasSubject,95,,
D.J.LAD,de,hasSubject,87,,
Ladung,de,hasSubject,87,,
D.J.STZ,de,hasSubject,84,,
Schriftsatz,de,hasSubject,84,,
Preßrechtsverstoß,de,hasSubject,81,,
T.F.PRE,de,hasSubject,81,,
Kingdom,en,hasSubject,79,,
D.K.RKS,de,hasSubject,78,,
Rückschein,de,hasSubject,78,,
Province,en,hasSubject,75,,
County (administrative unit),en,hasSubject,71,,
C.S.PRE,de,hasSubject,69,,
Pressedelikt,de,hasSubject,69,,
Pressrecht,de,hasSubject,69,,
R.F.PRE,de,hasSubject,69,,
amtsfreie Stadt,en,hasSubject,68,,
Typoskript mit handschirftlichen Überarbeitungen,de,hasSubject,67,,
professional organizational working group discussion,en,hasSubject,65,,
Verwaltung,de,hasSubject,65,,
Kreis,en,hasSubject,63,,
Governmental District,en,hasSubject,62,,
professional organizational meeting,en,hasSubject,60,,
Mitbestimmung,de,hasSubject,53,,
educational workshop discussion,en,hasSubject,50,,
R.F.SON,de,hasSubject,50,,
Sonstiger Rechtsbereich,de,hasSubject,50,,
D.J.ENW,de,hasSubject,49,,
Entwurf (jur.),de,hasSubject,49,,
Außergerichtliche Erledigung,de,hasSubject,48,,
E.F.AGE,de,hasSubject,48,,
Umschlag,de,hasSubject,48,,
Demokratisierung,de,hasSubject,46,,
D.J.UMS,de,hasSubject,44,,
D.K.PKT,de,hasSubject,44,,
Originalumschlag,de,hasSubject,44,,
Postkarte,de,hasSubject,44,,
D.J.VRS,de,hasSubject,43,,
Verständigung,de,hasSubject,43,,
Statutory City,en,hasSubject,42,,
D.K.EBS,de,hasSubject,41,,
Erhaltsbestätigung,de,hasSubject,41,,
D.J.KFS,de,hasSubject,40,,
Imperial Circle,en,hasSubject,40,,
Kostenfestsetzung,de,hasSubject,40,,
professional business meeting,en,hasSubject,40,,
professional organizational workshop discussion,en,hasSubject,40,,
Berichtigung (Ausgang),de,hasSubject,39,,
E.F.AEB,de,hasSubject,39,,
tschechoslowak. Staatsdienst,de,hasSubject,39,,
Berufungsausführung,de,hasSubject,37,,
D.J.BAF,de,hasSubject,37,,
D.J.MIT,de,hasSubject,37,,
