"value","lang","count"
Theater,de,12
Verzeichnis,de,12
Vollmacht,de,12
Ausbildung,de,11
Bundesländer,de,11
D.J.ZAS,de,11
Föderalismus,de,11
Fotografien,de,11
Intertextualität,de,11
Kündigung,de,11
Literaturwissenschaft,de,11
Medienwissenschaft,de,11
Personalkommission,de,11
Rechtsgeschichte,de,11
Zeugenaussage,de,11
Abhandlung,de,10
Bericht,de,10
Betriebsrat,de,10
Burgfrieden,en,10
D.J.ABH,de,10
D.J.BER,de,10
D.J.KON,de,10
D.J.KSB,de,10
D.J.ZAT,de,10
D.J.ZUN,de,10
E.F.NIC,de,10
Friedensverhandlungen,de,10
Kassabestätigung,de,10
K.K.LIT,de,10
K.K.SCH,de,10
Konzept (jur.),de,10
Literarische Berichtigung,de,10
Nicht verfolgt,de,10
"Schober, 15. Juli 1927",de,10
Staatsangestelltenkammer,de,10
Ungleichbehandlung,de,10
Zahlungsauftrag,de,10
Zurücknahme,de,10
"Berliner Tageblatt, Kerr, Wolff",de,9
D.J.LIS,de,9
D.J.VER,de,9
D.J.ZEB,de,9
D.K.RAD,de,9
Gemeindewahlrecht,de,9
K.K.BER,de,9
Lohnverhandlung,de,9
Militarismus,de,9
Privatrecht,de,9
Radiogramm,de,9
R.F.PRI,de,9
Typoskript mit handschriftlichen Mittelung,de,9
Vertrag,de,9
Zahlungseingangsbestätigung,de,9
Zeitung,de,9
Aktennotiz,de,8
Ansuchen,de,8
Aufstellung,de,8
D.J.AFS,de,8
D.J.AKN,de,8
D.J.ANS,de,8
Hofgericht,en,8
Kommissionsbezirk der Provinzstadt,en,8
Military Frontier,en,8
polyglot dictionary,"",8
"18. Jahrhundert",de,7
Abrechnung,de,7
Bibliographie,de,7
bibliography,en,7
Crownland,en,7
D.J.ABR,de,7
D.J.ANW,de,7
D.J.VSR,de,7
D.L,de,7
Korrespondenz,de,7
Liste (jur.),de,7
Literarischer Text,de,7
Publizistisches Dokument,de,7
Rechtsnachfolge,de,7
Sozialgeschichte,de,7
Tirol,de,7
Versetzung,de,7
Versicherung,de,7
Vertrauensmänner,de,7
Anfrage,de,6
Anweisung,de,6
Aufforderung,de,6
Berufungsschrift,de,6
D.J.AFD,de,6
D.J.ANF,de,6
D.J.BRS,de,6
D.J.EIN,de,6
D.J.GTS,de,6
D.J.KBS,de,6
D.J.KLB,de,6
D.J.RUK,de,6
D.J.SAT,de,6
D.K.NCH,de,6
D.K.UMS,de,6
E.F.ZUR,de,6
Einspruch,de,6
Fotografie (Mat.),de,6
Free City,en,6
Gesandtenkonferenz,de,6
Gutschrift,de,6
Hofmark,en,6
K.K.VER,de,6
Klagebeantwortung,de,6
Klagrückziehung,de,6
Kostenbestimmungsbeschluss,de,6
Nachricht,de,6
online site database,en,6
Politische Parteien,de,6
Republic,en,6
R.F.VER,de,6
