"value","count"
Bild,63141
XML/TEI,30007
GeoJSON-Datenset,2530
"3D-Daten",1321
Datenset,947
Text,284
Modell,215
Datensammlung,163
Tabellarisches Datenset,114
Rede,24
Andere,6
Korpus,4
Audiovisuelles Medium,3
Lexikalische Ressource,3
Kontrolliertes Vokabular,1
