value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order,2022-07-15: Nichtbeachtung weil,2022-07-15: Anmerkung,2022-07-15: Klassifizierung,2022-07-15: Comments by Seta,2022-09-15: Category,2022-09-15: Action,2022-09-15: Note DS,2022-09-23: Nichtbeachtung weil,2022-09-23: Anmerkung,2022-09-23 hasSubject_ARCHAEOLOGY: include?,2022-09-23 hasSubject_ARCHAEOLOGY: notes,2022-09-29: ARCHEgroup,2022-09-29: inARCHEmappedAs,2022-09-29: skos:match,2022-09-29: Vocabulary,2022-09-29: Notes,2022-09-29_xlsx: ARCHEgroup,2022-09-29_xlsx: skos:match,2022-09-29_xlsx: Vocabulary,2022-09-29_xlsx: Notes
D.J.AKV,,de,,,hasSubject,201,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANF,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANK,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANS,,de,,,hasSubject,8,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANT,,de,,,hasSubject,160,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANW,,de,,,hasSubject,7,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ANZ,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ARF,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AUB,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AUF,,de,,,hasSubject,27,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AUG,,de,,,hasSubject,14,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.AZG,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BAF,,de,,,hasSubject,37,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BAN,,de,,,hasSubject,18,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BEB,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BEK,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BEL,,de,,,hasSubject,13,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BEN,,de,,,hasSubject,108,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BER,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BIT,,de,,,hasSubject,22,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BRF,,de,,,hasSubject,12,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BRG,,de,,,hasSubject,28,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BRS,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BSD,,de,,,hasSubject,15,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BSS,,de,,,hasSubject,182,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BST,,de,,,hasSubject,15,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BSW,,de,,,hasSubject,32,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BWA,,de,,,hasSubject,3,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.BWN,,de,,,hasSubject,21,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.DAN,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.DKB,,de,,,hasSubject,12,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.DOS,,de,,,hasSubject,5,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EEK,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EGE,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EIN,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ENT,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ENW,,de,,,hasSubject,49,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ERA,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ERG,,de,,,hasSubject,16,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ERK,,de,,,hasSubject,26,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ERL,,de,,,hasSubject,14,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ERO,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EXA,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EXB,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.EXN,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.GPK,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.GTS,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.GUT,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.INF,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KBS,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KFS,,de,,,hasSubject,40,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KLB,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KLG,,de,,,hasSubject,28,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KOB,,de,,,hasSubject,14,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KON,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KSB,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KSN,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.KSZ,,de,,,hasSubject,5,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.LAD,,de,,,hasSubject,87,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.LEU,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.LIS,,de,,,hasSubject,9,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.MAP,,de,,,hasSubject,292,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.MEM,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.MIT,,de,,,hasSubject,37,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.MST,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.NOT,,de,,,hasSubject,26,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.PKG,,de,,,hasSubject,95,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.PKL,,de,,,hasSubject,100,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.REK,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.RMA,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.RNG,,de,,,hasSubject,13,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.RUK,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.RVA,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.RVS,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.SAT,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.SFE,,de,,,hasSubject,26,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.SRA,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.STG,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.STZ,,de,,,hasSubject,86,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.SVA,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.TST,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.UBR,,de,,,hasSubject,29,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.UBS,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.UBW,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.UMS,,de,,,hasSubject,44,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.URT,,de,,,hasSubject,109,,,,,,,,Disziplin,,,,,,,Disziplin,,,,,,,,,,,,
D.J.VER,,de,,,hasSubject,9,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VFB,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VLB,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VOL,,de,,,hasSubject,12,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VRF,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VRG,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VRN,,de,,,hasSubject,32,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VRS,,de,,,hasSubject,43,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VRZ,,de,,,hasSubject,12,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.VSR,,de,,,hasSubject,7,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZAS,,de,,,hasSubject,11,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZAT,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZEB,,de,,,hasSubject,9,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZRW,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZST,,de,,,hasSubject,3,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZUN,,de,,,hasSubject,10,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.J.ZVP,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.AAS,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.AGS,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.BRF,,de,,,hasSubject,2293,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.EBS,,de,,,hasSubject,41,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.LIS,,de,,,hasSubject,2,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.NCH,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.PAW,,de,,,hasSubject,4,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.PKT,,de,,,hasSubject,44,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.RAD,,de,,,hasSubject,9,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.RKS,,de,,,hasSubject,78,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.TGR,,de,,,hasSubject,31,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.K.UMS,,de,,,hasSubject,6,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.L,,de,,,hasSubject,7,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
D.L.ABS,,de,,,hasSubject,3,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
