value,lang,property,count,id,delete,separate,remove_trailing_space
borehole sampling,en,hasAppliedMethod,1,,,,
botany,en,hasSubject,2,,,,
Brief,de,hasSubject,2293,,,,
Briefausgabe,de,hasSubject,2,,,,
Briefumschlag,de,hasSubject,2,,,,
Bronze Age sites,en,hasSubject,1,,,,
Bronzefund,de,hasSubject,7,,,,
Buchgeschichte,de,hasSubject,126,,,,
Bundesländer,de,hasSubject,11,,,,
Bundespolizeidirektion,de,hasSubject,1,,,,
Bundesverfassung,de,hasSubject,4,,,,
Bürgerkrieg,de,hasSubject,3,,,,
Burgfrieden,en,hasSubject,10,,,,
Byzantinische Burg,,hasSubject,21,,,,
C.K.KOR,de,hasSubject,5,,,,
C.P.VER,de,hasSubject,3,,,,
C.S.PRE,de,hasSubject,69,,,,
C.S.PRI,de,hasSubject,135,,,,
C.V.VER,de,hasSubject,1,,,,
C.Z.STR,de,hasSubject,12,,,,
C.Z.UNS,de,hasSubject,5,,,,
Canabae,,hasSubject,21,,,,
canal,en,hasSubject,7,,,,
capacity,,hasSubject,4,,,,
cave,en,hasSubject,2,,,,
cemetery,en,hasSubject,9,,,,
Chalcholithic sites,en,hasSubject,1,,,,
chapel,en,hasSubject,7,,,,
Christlich-sozial,de,hasSubject,3,,,,
CIDOC CRM,,hasSubject,4,,,,
City District,en,hasSubject,1,,,,
Co-Principality,en,hasSubject,1,,,,
Collection,en,hasCategory,180,48551,,,
Commissariat,en,hasSubject,2,,,,
Commissary District,en,hasSubject,4,,,,
Computational Notebook,de,hasCategory,0,139816,,,
Computational Notebook,en,hasCategory,0,139816,,,
Concert of Europe,en,hasSubject,1,,,,
Condominium,en,hasSubject,4,,,,
conduits (water distribution structures),en,hasSubject,7,,,,
Confederation,en,hasSubject,2,,,,
Congress files,en,hasSubject,1,,,,
Congress of Aix-la-chapelle,en,hasSubject,1,,,,
Congress of Laibach,en,hasSubject,1,,,,
Congress of Troppau,en,hasSubject,1,,,,
Congress of Verona,en,hasSubject,1,,,,
Congress of Vienna,en,hasSubject,1,,,,
Congress System,en,hasSubject,1,,,,
Constituent Entity,en,hasSubject,3,,,,
Controlled Vocabulary,en,hasCategory,2,220409,,,
controlled vocabulary,,hasSubject,1,,,,
conversation,en,hasSubject,32,,,,
Corpus,en,hasCategory,4,139812,,,
Country,en,hasSubject,3,,,,
County,en,hasSubject,177,,,,
County (administrative unit),en,hasSubject,71,,,,
Crown Colony,en,hasSubject,5,,,,
Crownland,en,hasSubject,7,,,,
CT-scans,,hasAppliedMethod,3,,,,
CT-scans,en,hasAppliedMethod,1,,,,
D.J,de,hasSubject,3,,,,
D.J.ABH,de,hasSubject,10,,,,
D.J.ABL,de,hasSubject,4,,,,
D.J.ABR,de,hasSubject,7,,,,
D.J.AFD,de,hasSubject,6,,,,
D.J.AFS,de,hasSubject,8,,,,
D.J.AKN,de,hasSubject,8,,,,
D.J.AKS,de,hasSubject,17,,,,
D.J.AKT,de,hasSubject,2,,,,
D.J.AKU,de,hasSubject,4,,,,
D.J.AKV,de,hasSubject,201,,,,
D.J.ANF,de,hasSubject,6,,,,
D.J.ANK,de,hasSubject,2,,,,
D.J.ANS,de,hasSubject,8,,,,
D.J.ANT,de,hasSubject,160,,,,
D.J.ANW,de,hasSubject,7,,,,
D.J.ANZ,de,hasSubject,4,,,,
D.J.ARF,de,hasSubject,2,,,,
D.J.AUB,de,hasSubject,2,,,,
D.J.AUF,de,hasSubject,27,,,,
D.J.AUG,de,hasSubject,14,,,,
D.J.AZG,de,hasSubject,2,,,,
D.J.BAF,de,hasSubject,37,,,,
D.J.BAN,de,hasSubject,18,,,,
D.J.BEB,de,hasSubject,2,,,,
D.J.BEK,de,hasSubject,4,,,,
D.J.BEL,de,hasSubject,13,,,,
D.J.BEN,de,hasSubject,108,,,,
D.J.BER,de,hasSubject,10,,,,
D.J.BIT,de,hasSubject,22,,,,
D.J.BRF,de,hasSubject,12,,,,
D.J.BRG,de,hasSubject,28,,,,
D.J.BRS,de,hasSubject,6,,,,
D.J.BSD,de,hasSubject,15,,,,
D.J.BSS,de,hasSubject,182,,,,
D.J.BST,de,hasSubject,15,,,,
D.J.BSW,de,hasSubject,32,,,,
D.J.BWA,de,hasSubject,3,,,,
D.J.BWN,de,hasSubject,21,,,,
D.J.DAN,de,hasSubject,2,,,,
D.J.DKB,de,hasSubject,12,,,,
D.J.DOS,de,hasSubject,5,,,,
D.J.EEK,de,hasSubject,2,,,,
D.J.EGE,de,hasSubject,4,,,,
D.J.EIN,de,hasSubject,6,,,,
D.J.ENT,de,hasSubject,2,,,,
D.J.ENW,de,hasSubject,49,,,,
D.J.ERA,de,hasSubject,2,,,,
D.J.ERG,de,hasSubject,16,,,,
D.J.ERK,de,hasSubject,26,,,,
D.J.ERL,de,hasSubject,14,,,,
D.J.ERO,de,hasSubject,2,,,,
D.J.EXA,de,hasSubject,2,,,,
D.J.EXB,de,hasSubject,4,,,,
D.J.EXN,de,hasSubject,2,,,,
D.J.GPK,de,hasSubject,4,,,,
D.J.GTS,de,hasSubject,6,,,,
D.J.GUT,de,hasSubject,4,,,,
D.J.INF,de,hasSubject,4,,,,
D.J.KBS,de,hasSubject,6,,,,
D.J.KFS,de,hasSubject,40,,,,
D.J.KLB,de,hasSubject,6,,,,
D.J.KLG,de,hasSubject,28,,,,
D.J.KOB,de,hasSubject,14,,,,
D.J.KON,de,hasSubject,10,,,,
D.J.KSB,de,hasSubject,10,,,,
D.J.KSN,de,hasSubject,2,,,,
D.J.KSZ,de,hasSubject,5,,,,
D.J.LAD,de,hasSubject,87,,,,
D.J.LEU,de,hasSubject,2,,,,
D.J.LIS,de,hasSubject,9,,,,
D.J.MAP,de,hasSubject,292,,,,
D.J.MEM,de,hasSubject,4,,,,
D.J.MIT,de,hasSubject,37,,,,
D.J.MST,de,hasSubject,4,,,,
D.J.NOT,de,hasSubject,26,,,,
D.J.PKG,de,hasSubject,95,,,,
D.J.PKL,de,hasSubject,100,,,,
D.J.REK,de,hasSubject,4,,,,
D.J.RMA,de,hasSubject,2,,,,
D.J.RNG,de,hasSubject,13,,,,
D.J.RUK,de,hasSubject,6,,,,
D.J.RVA,de,hasSubject,2,,,,
D.J.RVS,de,hasSubject,2,,,,
D.J.SAT,de,hasSubject,6,,,,
D.J.SFE,de,hasSubject,26,,,,
D.J.SRA,de,hasSubject,4,,,,
D.J.STG,de,hasSubject,2,,,,
D.J.STZ,de,hasSubject,84,,,,
D.J.STZ ,de,hasSubject,2,,,,yes
D.J.SVA,de,hasSubject,4,,,,
D.J.TST,de,hasSubject,2,,,,
D.J.UBR,de,hasSubject,29,,,,
D.J.UBS,de,hasSubject,2,,,,
D.J.UBW,de,hasSubject,2,,,,
D.J.UMS,de,hasSubject,44,,,,
D.J.URT,de,hasSubject,109,,,,
D.J.VER,de,hasSubject,9,,,,
D.J.VFB,de,hasSubject,4,,,,
D.J.VLB,de,hasSubject,2,,,,
D.J.VOL,de,hasSubject,12,,,,
D.J.VRF,de,hasSubject,2,,,,
D.J.VRG,de,hasSubject,2,,,,
D.J.VRN,de,hasSubject,32,,,,
D.J.VRS,de,hasSubject,43,,,,
D.J.VRZ,de,hasSubject,12,,,,
D.J.VSR,de,hasSubject,7,,,,
D.J.ZAS,de,hasSubject,11,,,,
D.J.ZAT,de,hasSubject,10,,,,
D.J.ZEB,de,hasSubject,9,,,,
D.J.ZRW,de,hasSubject,2,,,,
D.J.ZST,de,hasSubject,3,,,,
D.J.ZUN,de,hasSubject,10,,,,
D.J.ZVP,de,hasSubject,2,,,,
D.K.AAS,de,hasSubject,2,,,,
D.K.AGS,de,hasSubject,4,,,,
D.K.BRF,de,hasSubject,2293,,,,
D.K.EBS,de,hasSubject,41,,,,
D.K.LIS,de,hasSubject,2,,,,
D.K.NCH,de,hasSubject,6,,,,
D.K.PAW,de,hasSubject,4,,,,
