"id","value","qualification","property","lang","notes_lang","variants","singular form"
217,D.J.KSB,,hasSubject,und,DAACDA,,
218,D.J.KSN,,hasSubject,und,DAACDA,,
219,D.J.KSZ,,hasSubject,und,DAACDA,,
220,D.J.LAD,,hasSubject,und,DAACDA,,
221,D.J.LEU,,hasSubject,und,DAACDA,,
222,D.J.LIS,,hasSubject,und,DAACDA,,
223,D.J.MAP,,hasSubject,und,DAACDA,,
224,D.J.MEM,,hasSubject,und,DAACDA,,
225,D.J.MIT,,hasSubject,und,DAACDA,,
226,D.J.MST,,hasSubject,und,DAACDA,,
227,D.J.NOT,,hasSubject,und,DAACDA,,
228,D.J.PKG,,hasSubject,und,DAACDA,,
229,D.J.PKL,,hasSubject,und,DAACDA,,
230,D.J.REK,,hasSubject,und,DAACDA,,
231,D.J.RMA,,hasSubject,und,DAACDA,,
232,D.J.RNG,,hasSubject,und,DAACDA,,
233,D.J.RUK,,hasSubject,und,DAACDA,,
234,D.J.RVA,,hasSubject,und,DAACDA,,
235,D.J.RVS,,hasSubject,und,DAACDA,,
236,D.J.SAT,,hasSubject,und,DAACDA,,
237,D.J.SFE,,hasSubject,und,DAACDA,,
238,D.J.SRA,,hasSubject,und,DAACDA,,
239,D.J.STG,,hasSubject,und,DAACDA,,
240,D.J.STZ,,hasSubject,und,DAACDA,,
241,D.J.SVA,,hasSubject,und,DAACDA,,
242,D.J.TST,,hasSubject,und,DAACDA,,
243,D.J.UBR,,hasSubject,und,DAACDA,,
244,D.J.UBS,,hasSubject,und,DAACDA,,
245,D.J.UBW,,hasSubject,und,DAACDA,,
246,D.J.UMS,,hasSubject,und,DAACDA,,
247,D.J.URT,,hasSubject,und,DAACDA,,
248,D.J.VER,,hasSubject,und,DAACDA,,
249,D.J.VFB,,hasSubject,und,DAACDA,,
250,D.J.VLB,,hasSubject,und,DAACDA,,
251,D.J.VOL,,hasSubject,und,DAACDA,,
252,D.J.VRF,,hasSubject,und,DAACDA,,
253,D.J.VRG,,hasSubject,und,DAACDA,,
254,D.J.VRN,,hasSubject,und,DAACDA,,
255,D.J.VRS,,hasSubject,und,DAACDA,,
256,D.J.VRZ,,hasSubject,und,DAACDA,,
257,D.J.VSR,,hasSubject,und,DAACDA,,
258,D.J.ZAS,,hasSubject,und,DAACDA,,
259,D.J.ZAT,,hasSubject,und,DAACDA,,
260,D.J.ZEB,,hasSubject,und,DAACDA,,
261,D.J.ZRW,,hasSubject,und,DAACDA,,
262,D.J.ZST,,hasSubject,und,DAACDA,,
263,D.J.ZUN,,hasSubject,und,DAACDA,,
264,D.J.ZVP,,hasSubject,und,DAACDA,,
265,D.K.AAS,,hasSubject,und,DAACDA,,
266,D.K.AGS,,hasSubject,und,DAACDA,,
267,D.K.BRF,,hasSubject,und,DAACDA,,
268,D.K.EBS,,hasSubject,und,DAACDA,,
269,D.K.LIS,,hasSubject,und,DAACDA,,
270,D.K.NCH,,hasSubject,und,DAACDA,,
271,D.K.PAW,,hasSubject,und,DAACDA,,
272,D.K.PKT,,hasSubject,und,DAACDA,,
273,D.K.RAD,,hasSubject,und,DAACDA,,
274,D.K.RKS,,hasSubject,und,DAACDA,,
275,D.K.TGR,,hasSubject,und,DAACDA,,
276,D.K.UMS,,hasSubject,und,DAACDA,,
277,D.L,,hasSubject,und,DAACDA,,
278,D.L.ABS,,hasSubject,und,DAACDA,,
279,D.L.GED,,hasSubject,und,DAACDA,,
280,D.L.PMP,,hasSubject,und,DAACDA,,
281,D.P,,hasSubject,und,DAACDA,,
282,D.P.ZTA,,hasSubject,und,DAACDA,,
283,D.P.ZTG,,hasSubject,und,DAACDA,,
284,D.S.FOT,,hasSubject,und,DAACDA,,
285,D.S.LSZ,,hasSubject,und,DAACDA,,
286,D.S.PGH,,hasSubject,und,DAACDA,,
287,D.S.PLK,,hasSubject,und,DAACDA,,
288,Darlehen zurückbezahlt,,hasSubject,de,,,
289,data,,hasSubject,en,,,
290,data curation,,hasAppliedMethod,en,,,
291,data integration,,hasSubject,en,,,
292,data management,,hasAppliedMethod,en,,,
293,data model,,hasSubject,en,,,
294,data sharing,,hasSubject,en,,,
295,dataset,,hasCategory,en,,,
296,Datensammlung,,hasCategory,de,,,
297,Datenset,,hasCategory,de,,,
298,Deckblatt,,hasSubject,de,,,
299,Demokratisierung,,hasSubject,de,,,
300,deutschösterreichische Regierung,,hasSubject,de,,deutsch-österreichische Regierung,
301,Die Fackel,,hasSubject,de,,,
302,Die Stunde,,hasSubject,de,,,
303,digitale Edition,,hasSubject,de,,,
304,digitisation,,hasSubject,en,,digitization,
305,Diplomatiegeschichte,,hasSubject,de,,,
306,district,,hasSubject,en,,,
307,district captaincy,,hasSubject,en,,,
308,Disziplinaranzeige,,hasSubject,de,,,
309,Disziplinarausschuss,,hasSubject,de,,,
310,Disziplinarrecht,,hasSubject,de,,,
311,Dossier,,hasSubject,de,,,
312,Drohung,,hasSubject,de,,,
313,Druck,,hasSubject,de,,,
314,Druck mit handschriftlichen Annotationen,,hasSubject,de,,"Druck mit handschriftlichen Notaten, Druck mit handschriftlichen Notizen",
315,Druck mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
316,duchy,,hasSubject,en,,,
317,Durchschlag,,hasSubject,de,,,
318,Durchschlag mit handschriftlichen Annotationen,,hasSubject,de,,,
319,Durchschlag mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
320,Durchschlag mit handschriftlicher Mitteilung,,hasSubject,de,,,
321,Durchschlag mit sonstigen Schreibspuren,,hasSubject,de,,,
322,E.F.ABW,,hasSubject,und,DAACDA,,
323,E.F.AEB,,hasSubject,und,DAACDA,,
324,E.F.AEE,,hasSubject,und,DAACDA,,
325,E.F.AEI,,hasSubject,und,DAACDA,,
326,E.F.AGE,,hasSubject,und,DAACDA,,
327,E.F.AUF,,hasSubject,und,DAACDA,,
328,E.F.AUS,,hasSubject,und,DAACDA,,
329,E.F.BES,,hasSubject,und,DAACDA,,
330,E.F.DAR,,hasSubject,und,DAACDA,,
331,E.F.EIN,,hasSubject,und,DAACDA,,
332,E.F.ERK,,hasSubject,und,DAACDA,,
333,E.F.FOR,,hasSubject,und,DAACDA,,
334,E.F.FRE,,hasSubject,und,DAACDA,,
335,E.F.GBU,,hasSubject,und,DAACDA,,
336,E.F.GEL,,hasSubject,und,DAACDA,,
337,E.F.HON,,hasSubject,und,DAACDA,,
338,E.F.NIC,,hasSubject,und,DAACDA,,
339,E.F.RUE,,hasSubject,und,DAACDA,,
340,E.F.SCH,,hasSubject,und,DAACDA,,
341,E.F.SUE,,hasSubject,und,DAACDA,,
342,E.F.VAU,,hasSubject,und,DAACDA,,
343,E.F.VER,,hasSubject,und,DAACDA,,
344,E.F.VGL,,hasSubject,und,DAACDA,,
345,E.F.VSE,,hasSubject,und,DAACDA,,
346,E.F.ZRW,,hasSubject,und,DAACDA,,
347,E.F.ZUR,,hasSubject,und,DAACDA,,
348,Edition,,hasSubject,de,,,
349,educational,,hasSubject,en,,,
350,educational conversation,,hasSubject,en,,,
351,educational interview,,hasSubject,en,,,
352,educational seminar discussion,,hasSubject,en,,,
353,educational service encounter,,hasSubject,en,,,
354,educational working group discussion,,hasSubject,en,,,
355,educational workshop discussion,,hasSubject,en,,,
356,Ehrenbeleidigung,,hasSubject,de,,,
357,Ehrenerklärung,,hasSubject,de,,,
358,Ehrenkränkung,,hasSubject,de,,,
359,Eingabe,,hasSubject,de,,,
360,eingestellt,,hasSubject,de,,,
361,Einigung,,hasSubject,de,,,
362,Einspruch,,hasSubject,de,,,
363,electorate,,hasSubject,en,,,
364,empire,,hasSubject,en,,,
365,English as a lingua franca,,hasSubject,en,,,
366,Entente,,hasSubject,de,,,
367,Entschuldigung,,hasSubject,de,,,
368,Entwurf,jur.,hasSubject,de,,,
369,Entwurf,,hasSubject,de,,,
370,Ergänzung,,hasSubject,de,,,
371,Erhaltsbestätigung,,hasSubject,de,,,
372,Erklärung,jur.,hasSubject,de,,,
