subject;count;ARCHEsourceProperty
Karl Baedeker;13;hasSubject
Imperial Free City;4;hasSubject
Congress of Verona;1;hasSubject
language choice;1;hasSubject
journalistic prose;1;hasSubject
Bundespolizeidirektion;1;hasSubject
D.J.EXA;2;hasSubject
Kostenbestimmungsbeschluss;6;hasSubject
AuflÃ¶sung des Vertrags;1;hasSubject
Disziplinarrecht;5;hasSubject
D.J.AZG;2;hasSubject
Fundfotos;1;hasSubject
D.J.BWA;3;hasSubject
Konterrevolution;1;hasSubject
D.P;5;hasSubject
Bestechung;2;hasSubject
E.F.FOR;3;hasSubject
ErklÃ¤rung (jur.);26;hasSubject
Typoskript;1352;hasSubject
Vermessung;1;hasSubject
District;4;hasSubject
Die Stunde, BÃ©kessy;21;hasSubject
Ã„uÃŸerung;14;hasSubject
educational;12;hasSubject
Schadensersatz;1;hasSubject
Richard LÃ¡nyi;1;hasSubject
Inscriptions;1;hasSubject
Betriebsrat;10;hasSubject
E.F.AEE;2;hasSubject
Congress files;1;hasSubject
S.F.KER;1;hasSubject
Free City;6;hasSubject
Verhaftung;1;hasSubject
Beschlagnahme aufgehoben;1;hasSubject
Neolithic pottery;1;hasSubject
BevollmÃ¤chtiger;15;hasSubject
Gutachten;4;hasSubject
Beweisantrag;21;hasSubject
military frontier;1;hasSubject
Landgraviate;1;hasSubject
R.F.SON;50;hasSubject
D.J.TST;2;hasSubject
Ansuchen;8;hasSubject
Graf Leo Thun-Hohenstein ;1;hasSubject
Bauaufnahme;1;hasSubject
PreÃŸrechtsverstoÃŸ;81;hasSubject
D.J.KSB;10;hasSubject
Nachkriegskrise;5;hasSubject
Electorate;1;hasSubject
Indiskretion;1;hasSubject
Briefausgabe;2;hasSubject
Privatanklage;95;hasSubject
educational service encounter;25;hasSubject
Forderung bezahlt;3;hasSubject
Typoskript mit handschirftlichen Ãœberarbeitungen;67;hasSubject
inscription;1;hasSubject
Strafantrag;6;hasSubject
rockshelter;2;hasSubject
Aufstellung;8;hasSubject
Entschuldigung;2;hasSubject
Auftrag;27;hasSubject
Mappe, M.S.MAP ;2;hasSubject
C.S.PRI;135;hasSubject
GIS;2649;hasSubject
Gesandtenkonferenz;6;hasSubject
Archduchy;5;hasSubject
T.F.BEL;1;hasSubject
D.L.ABS;3;hasSubject
E.F.RUE;1;hasSubject
Abweisung;3;hasSubject
D.J.ZAS;11;hasSubject
D.J.RNG;13;hasSubject
D.J.LAD;87;hasSubject
Memorandum;5;hasSubject
zwischenstaatliche Vereinbarung;24;hasSubject
Zeitun;2;hasSubject
D.S.LSZ;2;hasSubject
Publizistisches Dokument;7;hasSubject
D.J.AKN;8;hasSubject
Versteigerung;1;hasSubject
Opferbereitschaft;1;hasSubject
Marken-/Namensrechtsverletzung;1;hasSubject
S.F.MAR;2;hasSubject
Ã„nderung;1;hasSubject
Military District;5;hasSubject
Holy Roman Empire;2;hasSubject
D.J.ERA;2;hasSubject
Urheberrechtsverletzung (Bel.);1;hasSubject
Aufforderung;6;hasSubject
linked open data;5;hasSubject
