subject;count;ARCHEsourceProperty
Ã–sterreich 1849-1860;1;hasSubject
D.J.KSN;2;hasSubject
Theater;12;hasSubject
Statutory City;42;hasSubject
HÃ¼gelgrÃ¤ber;21;hasSubject
YeldeÄŸirmentepe;2;hasSubject
function;4;hasSubject
VerfÃ¼gungsbogen;4;hasSubject
Marktgericht;2;hasSubject
18. Jahrhundert;7;hasSubject
part-of-speech tagging;317;hasSubject
Historical Network Research;2;hasSubject
Beweisabschluss;3;hasSubject
Kostennote;2;hasSubject
Bezirksamt;318;hasSubject
D.J.ANF;6;hasSubject
Rechnung;13;hasSubject
tschechoslowakische Regierung;5;hasSubject
R.F.ZIV;18;hasSubject
Staatsvertrag (St. Germain);4;hasSubject
Crownland;7;hasSubject
Vergleich (Ausgang);14;hasSubject
Griechenland;13;hasSubject
Buchgeschichte;126;hasSubject
Druck;690;hasSubject
Falsche Zeugenaussage;2;hasSubject
ontology;2;hasSubject
BerufungsausfÃ¼hrung;37;hasSubject
Hofgericht;8;hasSubject
T.F.IND;1;hasSubject
D.J.GPK;4;hasSubject
D.K.EBS;41;hasSubject
K.K.MED;13;hasSubject
Friedrich Austerlitz;2;hasSubject
online site database;9;hasSubject
Strafrecht;134;hasSubject
Streik;21;hasSubject
Mappe;296;hasSubject
D.J.AKV;201;hasSubject
Aktennotiz;8;hasSubject
Fotografie (Obj.);2;hasSubject
Testament;2;hasSubject
Berufung;12;hasSubject
D.J.ERO;2;hasSubject
D.J.ZRW;2;hasSubject
E.F.EIN;5;hasSubject
Laufbahn;1;hasSubject
Constituent Entity;3;hasSubject
Burgfrieden;10;hasSubject
R.F.STR;134;hasSubject
D.J.VSR;7;hasSubject
Medienhistorisches;13;hasSubject
Bibliographie;7;hasSubject
language contact;1;hasSubject
Wiener Kongress;1;hasSubject
D.J.BRG;28;hasSubject
D.J.DAN;2;hasSubject
Lesbos;13;hasSubject
service encounter;32;hasSubject
open data;1;hasSubject
ErklÃ¤rung (Ausgang);1;hasSubject
D.J.MEM;4;hasSubject
VertrauensmÃ¤nner;7;hasSubject
Glacis;1;hasSubject
Manuskript;256;hasSubject
High Commissariat;1;hasSubject
Kopie;223;hasSubject
D.L.GED;2;hasSubject
S.F.KRO;1;hasSubject
KassabestÃ¤tigung;10;hasSubject
RufschÃ¤digung;1;hasSubject
Privatrecht;9;hasSubject
Austrian press releases;1;hasSubject
Ausschuss;1;hasSubject
Christlich-sozial;3;hasSubject
professional business meeting;40;hasSubject
Personalrat;2;hasSubject
Koalitionsfreiheit;16;hasSubject
Literarische Berichtigung;10;hasSubject
Medieval Germany;2;hasSubject
Ãœberweisung;2;hasSubject
Vereins- und Versammlungsfreiheit;2;hasSubject
D.J.ANT;160;hasSubject
D.J.ERK;26;hasSubject
Hofmark;6;hasSubject
D.J.KLG;28;hasSubject
Lokalpolitik;2;hasSubject
VerstÃ¤ndigung;43;hasSubject
Briefumschlag;2;hasSubject
Co-Principality;1;hasSubject
educational conversation;20;hasSubject
Byzantinische Burg;21;hasSubject
S.F.RUE;1;hasSubject
Klage;28;hasSubject
K.K.BER;9;hasSubject
Erlagschein;14;hasSubject
D.J.UBS;2;hasSubject
Privatrechtliche Vereinbarung;3;hasSubject
Voivodeship;1;hasSubject
T.F.KWF;1;hasSubject
Bitte;22;hasSubject
Wasserversorgung;21;hasSubject
Austrian media landscape;1;hasSubject
Juristisches Dokument;3;hasSubject
Aufgabeschein;4;hasSubject
D.J.ANS;8;hasSubject
D.J.PKG;95;hasSubject
Rechtsnachfolge;7;hasSubject
Nationalsozialismus;4;hasSubject
Gutschrift;6;hasSubject
Kassazettel;5;hasSubject
Richard Smetana;1;hasSubject
D.J.ERG;16;hasSubject
Zweiter Weltkrieg;2;hasSubject
S.F.SME;1;hasSubject
Drohung;1;hasSubject
E.F.AUS;30;hasSubject
Verurteilung;28;hasSubject
lithics;2;hasSubject
Bericht;10;hasSubject
Ersatzanspruch;2;hasSubject
Nachrede;1;hasSubject
professional business conversation;5;hasSubject
professional organizational working group discussion;65;hasSubject
professional business question-answer session;20;hasSubject
S.F.BEK;1;hasSubject
GeldbuÃŸe;4;hasSubject
Rechtsmittelanmeldung;2;hasSubject
Squeezes;2;hasSubject
D.J.EEK;2;hasSubject
Berufungsschrift;6;hasSubject
Paul Amadeus Pisk;1;hasSubject
T.F.EHR;35;hasSubject
Nekropole;21;hasSubject
D.J.BSS;182;hasSubject
tag set;1;hasSubject
D.J.ERL;14;hasSubject
