Reihenfolge;Tag;Level;Synonym;dha-match;dha-match-url;wikidata-match;wikidata-match-url;
235;Preservation Metadata;3;;;;preservation metadata;https://www.wikidata.org/wiki/Q7241044;
36;Principal Component Analysis;3;;;;;;
54;Principal Component Analysis;3;;;;;;
121;Programm;2;;programming;;;;
124;Pseudo Code;3;;;;;;
154;Publication;2;;;;;;
79;Query;3;;;;;;
210;Reasoning;;;;;;;
110;Recording;2;;;;;;
24;Relational Analysis;2;;;;;;
183;Removing;3;;;;;;
103;Replication;4;;;;;;
236;Replication;3;;;;copying;https://www.wikidata.org/wiki/Q1156791;
55;Rhetorical Analysis;3;;;;;;
92;Scan;4;;;;;;
109;Scan;3;;;;;;
216;Scan;3;;;;;;
112;Screencast;3;;;;;;
80;Search;3;;;;;;
177;Segmentation;3;;;;;;
143;Semantification;4;;;;;;
171;Semantification;4;;;;;;
201;Semantification;;;;;;;
13;Sentiment Analysis;3;;;;;;
37;Sequence Alignment;3;;;;;;
133;Sharing;4;;;;;;
160;Sharing;2;;;;;;
227;Sharing;3;;;;;;
136;Social Network;3;;;;;;
39;Spatial Analysis;2;;;;;;
115;Speech recognition;3;;;;;;
211;Storage;1;;;;;;
42;Structural Analysis;2;;;;;;
47;Stylistic Analysis;2;;;;;;
38;Stylometry;3;;;;;;
56;Stylometry;3;;;;;;
191;Subtracting;3;;;;;;
192;Supplementing;3;;;;;;
14;Tag;3;;;;;;
163;Teaching;3;;;;;;
57;Text Categorization;3;;;;;;
149;Text Message;3;;;;;;
205;Theorizing;;theory;;;;;
15;Topic Modeling;3;;;;;;
114;Transcription;2;;;;;;
204;Transformation;;;;;;;
125;Translation;2;;;;;;
159;Tweet;3;;;;;;
9;Uniform Resource Identifier;4;;;;;https://www.wikidata.org/wiki/Q816826;
22;Uniform Resource Identifier;4;;;;;;
33;Uniform Resource Identifier;4;;;;;;
223;Uniform Resource Identifier;3;;;;;;
135;Upload;5;;;;;;
162;Upload;3;;;;;;
