hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
D.J.SFE;26;zu speziell/nicht wiederverwendbar;;
Erklärung (jur.);26;;;
Lohnforderung;26;;;
Notiz;26;;;
Personalvertretung;26;;;
Ruhestand;26;;;
Vorrückung;26;;;
educational interview;25;;;
educational service encounter;25;;;
educational working group discussion;25;;;"Ähnlichkeit mit ""seminar discussion"""
leisure interview;25;;;
professional organizational press conference;25;;;"Ähnlichkeit mit ""press conference"""
Staatsbedienstetenorganisationen;25;;;
Berichtigung (jur.);24;;;
Empire;24;;;
zwischenstaatliche Vereinbarung;24;;;
Landeskommissariat;23;;;
Bitte;22;;;
D.J.BIT;22;zu speziell/nicht wiederverwendbar;;
Strafanzeige;22;;;
Archivrecherchen;21;;;
Beweisantrag;21;;;
Byzantinische Burg;21;;;
Canabae;21;;;
D.J.BWN;21;zu speziell/nicht wiederverwendbar;;
Die Stunde, Békessy;21;;;
Forschungsgeschichte;21;Disziplin;;
Hügelgräber;21;;;
K.K.STU;21;zu speziell/nicht wiederverwendbar;;
Keramik;21;;;
Lagervorstadt;21;;;
Legionslager;21;;;
Munizipium;21;;;
Nekropole;21;;;
Siedlungstopographie;21;;;
Streik;21;;;
Surveyartefakte;21;;;
Wasserversorgung;21;;;
Beamtenorganisation;20;;;
educational conversation;20;;;
professional business panel;20;;;
professional business question-answer session;20;;;
deutschösterr. Regierung;19;;;
K.P.SOZ;19;zu speziell/nicht wiederverwendbar;;
Sozialdemokratie;19;;;
Berufungsanmeldung;18;;;
D.J.BAN;18;zu speziell/nicht wiederverwendbar;;
Die Fackel;18;;;
Druck mit handschriftlichen Annotationen;18;;;
K.K.FAC;18;zu speziell/nicht wiederverwendbar;;
R.F.ZIV;18;zu speziell/nicht wiederverwendbar;;
T.F.URV;18;zu speziell/nicht wiederverwendbar;;
Urheberrechtsverletzung;18;;;
Zivilrecht;18;Disziplin;;
Anklageschrift;17;;;
Gewerkschaft;17;;;
Beförderung;16;;;
D.J.ERG;16;zu speziell/nicht wiederverwendbar;;
Ergänzung;16;;;
Koalitionsfreiheit;16;;;
Bescheid;15;;;
Bestätigung;15;;;
Bevollmächtiger;15;;;
D.J.AKS;15;zu speziell/nicht wiederverwendbar;;
D.J.BSD;15;zu speziell/nicht wiederverwendbar;;
D.J.BST;15;zu speziell/nicht wiederverwendbar;;
professional organizational conversation;15;;;
Äußerung;14;;;
D.J.AUG;14;zu speziell/nicht wiederverwendbar;;
D.J.ERL;14;zu speziell/nicht wiederverwendbar;;
D.J.KOB;14;zu speziell/nicht wiederverwendbar;;
D.P.ZTG;14;zu speziell/nicht wiederverwendbar;;
E.F.FRE;14;zu speziell/nicht wiederverwendbar;;
E.F.VGL;14;zu speziell/nicht wiederverwendbar;;
Erlagschein;14;;;
Freispruch;14;;;
High-Bailiwick;14;;;
Kostenaufstellung;14;;;
Principality;14;;;
Seat;14;;;
Vergleich (Ausgang);14;;;
Beleg (jur.);13;;;
D.J.BEL;13;zu speziell/nicht wiederverwendbar;;
D.J.RNG;13;zu speziell/nicht wiederverwendbar;;
Ernennung;13;;;
Griechenland;13;Ort;;
historical travel guides;13;;;
K.K.MED;13;zu speziell/nicht wiederverwendbar;;
Karl Baedeker;13;Eigenname;;
Lesbos;13;Ort;;
Medienhistorisches;13;Disziplin;;
Rechnung;13;;;
Berufung;12;;;
C.Z.STR;12;zu speziell/nicht wiederverwendbar;;
D.J.BRF;12;zu speziell/nicht wiederverwendbar;;
D.J.DKB;12;zu speziell/nicht wiederverwendbar;;
D.J.VOL;12;zu speziell/nicht wiederverwendbar;;
D.J.VRZ;12;zu speziell/nicht wiederverwendbar;;
Deckblatt;12;;;
educational;12;;;
Grand Duchy;12;;;
K.K.THE;12;zu speziell/nicht wiederverwendbar;;
leisure;12;;;
professional business;12;;;
professional organizational;12;zu allgemein/nicht aussagekräftig;;
professional research and science;12;;;
Sonstiger Materialitätstyp;12;;;
Streitige Zivilrechtssache;12;;;
Theater;12;;;
Verzeichnis;12;;;
Vollmacht;12;;;
