hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
Congress of Laibach;1;;;
Congress of Troppau;1;;;
Congress of Verona;1;;;
Congress of Vienna;1;;;"Ähnlichkeit mit ""Wiener Kongress"""
Congress System;1;;;
Co-Principality;1;;;
Darlehen zurückbezahlt;1;;;
Digital Edition;1;;;
Digitization;1;;;
Diplomatiegeschichte;1;Disziplin;;
Drohung;1;;;
E.F.AEI;1;zu speziell/nicht wiederverwendbar;;
E.F.AUF;1;zu speziell/nicht wiederverwendbar;;
E.F.BES;1;zu speziell/nicht wiederverwendbar;;
E.F.DAR;1;zu speziell/nicht wiederverwendbar;;
E.F.ERK;1;zu speziell/nicht wiederverwendbar;;
E.F.HON;1;zu speziell/nicht wiederverwendbar;;
E.F.RUE;1;zu speziell/nicht wiederverwendbar;;
E.F.SCH;1;zu speziell/nicht wiederverwendbar;;
E.F.SUE;1;zu speziell/nicht wiederverwendbar;;
E.F.VAU;1;zu speziell/nicht wiederverwendbar;;
E.F.VSE;1;zu speziell/nicht wiederverwendbar;;
E.F.ZRW;1;zu speziell/nicht wiederverwendbar;;
Ehrenkränkung;1;;;
Einigung;1;;;
Electorate;1;;;
Erklärung (Ausgang);1;;;
European Concert of Powers;1;;;
Fachprüfung;1;;;
französische Regierung;1;;;
Fundfotos;1;;;
Fundzeichnungen;1;;;
Gefährliche Drohung;1;;;
Genfer Protokolle;1;;;
Gesteinsproben;1;;;
Glacis;1;;;
GPR;1;;;
Grabungstagebuch;1;;;
Graf Leo Thun-Hohenstein;1;Eigenname;;
Graf Leo Thun-Hohenstein;1;Eigenname;;"Ähnlichkeit mit ""Graf Leo Thun-Hohenstein"""
Grand Principality;1;;;
Great Powers;1;;;
Gremium;1;;;
Großdeutsche Volkspartei;1;;;
Hans Liebstöckl;1;Eigenname;;
High Commissariat;1;;;
History of diplomacy;1;Disziplin;;"Übersetzung von ""Diplomatiegeschichte"""
Honorar;1;;;
Imre Békessy;1;Eigenname;;
Indiskretion;1;;;
Inscriptions;1;;;
journalistic prose;1;;;
Karten;1;zu allgemein/nicht aussagekräftig;;
Klage wegen Forderung;1;;;
Koalitionsrecht;1;;;
Kongress von Aachen;1;;;
Kongress von Laibach;1;;;"Übersetzung von ""Congress of Laibach"""
Kongress von Troppau;1;;;"Übersetzung von ""Congress of Troppau"""
Kongress von Verona;1;;;"Übersetzung von ""Congress of Verona"""
Kongressakten;1;;;
Konterrevolution;1;;;
Kronos-Verlag;1;;;
Landgraviate;1;;;
language choice;1;;;
language contact;1;;;
language mapping;1;;;
language variation;1;;;
Laufbahn;1;;;
Laufbahn (Folgen);1;zu speziell/nicht wiederverwendbar;;
lexical resources;1;;;
linguistic landscape;1;;;
Lothar Rübelt;1;Eigenname;;
Mächtekongress;1;;;
Mächtekonzert;1;;;
Magnetik;1;;;
manual;1;zu allgemein/nicht aussagekräftig;;
Marken-/Namensrechtsverletzung;1;;;
mark-up;1;;;
mark-up conventions;1;;;
military frontier;1;;;
Military Government;1;;;
Monarchenkongresse;1;;;
Mörtelproben;1;;;
Nachrede;1;;;
Ontologie;1;;;
ontology;1;;;"Übersetzung von ""Ontologie"""
Opferbereitschaft;1;;;
Oskar Samek;1;Eigenname;;
Österreich 1849-1860;1;Periode/Phase;;
Paul Amadeus Pisk;1;Eigenname;;
Pauperisierung;1;;;
Persönlichkeitsrechtsverletzung;1;;;
Plagiat;1;;;
Politische Maßregelung;1;;;
Profilzeichnungen;1;;;
Qualifikationsbeschwerde;1;;;
Richard Lányi;1;Eigenname;;
Richard Smetana;1;Eigenname;;
Rückzahlung;1;;;
Rufschädigung;1;;;
S.F.BEK;1;zu speziell/nicht wiederverwendbar;;
S.F.BPD;1;zu speziell/nicht wiederverwendbar;;
S.F.KER;1;zu speziell/nicht wiederverwendbar;;
S.F.KRO;1;zu speziell/nicht wiederverwendbar;;
S.F.LIE;1;zu speziell/nicht wiederverwendbar;;
S.F.PAD;1;zu speziell/nicht wiederverwendbar;;
S.F.PIS;1;zu speziell/nicht wiederverwendbar;;
S.F.RIC;1;zu speziell/nicht wiederverwendbar;;
S.F.RUE;1;zu speziell/nicht wiederverwendbar;;
S.F.SAM;1;zu speziell/nicht wiederverwendbar;;
S.F.SME;1;zu speziell/nicht wiederverwendbar;;
Schadensersatz;1;;;
Scheitern der Exekution;1;;;
schema;1;zu allgemein/nicht aussagekräftig;;
Schloss;1;zu allgemein/nicht aussagekräftig;;
Schweiz;1;Ort;;
search manual;1;;;
Selbstverwaltung;1;;;
spelling;1;;;
spelling conventions;1;;;
Staatsbediensteten-Kommission;1;;;
Stefan Padajaunig;1;Eigenname;;
Sühne;1;;;
T.F.AUS;1;zu speziell/nicht wiederverwendbar;;
T.F.BEL;1;zu speziell/nicht wiederverwendbar;;
T.F.DRO;1;zu speziell/nicht wiederverwendbar;;
T.F.EHK;1;zu speziell/nicht wiederverwendbar;;
T.F.EUV;1;zu speziell/nicht wiederverwendbar;;
T.F.GDR;1;zu speziell/nicht wiederverwendbar;;
T.F.IND;1;zu speziell/nicht wiederverwendbar;;
T.F.KWF;1;zu speziell/nicht wiederverwendbar;;
T.F.MNR;1;zu speziell/nicht wiederverwendbar;;
T.F.NAC;1;zu speziell/nicht wiederverwendbar;;
T.F.PER;1;zu speziell/nicht wiederverwendbar;;
T.F.REB;1;zu speziell/nicht wiederverwendbar;;
T.F.RUF;1;zu speziell/nicht wiederverwendbar;;
T.F.UNA;1;zu speziell/nicht wiederverwendbar;;
T.F.UNB;1;zu speziell/nicht wiederverwendbar;;
T.F.UPL;1;zu speziell/nicht wiederverwendbar;;
T.F.VER;1;zu speziell/nicht wiederverwendbar;;
tag set;1;;;
TEI;1;;;
TEI-schema;1;;;
TLS;1;;;
transcription;1;;;
Transkribus;1;;;
tschechoslowakisches Militär;1;;;
Umsiedlung;1;;;
Unautorisierte Aufführung;1;;;
Unbefugte Kolportage;1;;;
unknown adm;1;zu allgemein/nicht aussagekräftig;;
Urheberrechtsverletzung (Bel.);1;;;
Verhaftung;1;;;
Verletzung des Rechts am eigenen Bild;1;;;
Verleumdung;1;;;
Vermessung;1;;;
Versetzung außerhalb Wiens;1;;;
Versteigerung;1;;;
Verwaltungsrechtssache;1;;;
Viennese Dialectological School;1;;;
Voivodeship;1;;;
Wiener Kongress;1;;;
written language in public space;1;;;
XML;1;;;https://vocabs.acdh.oeaw.ac.at/archecategory/text/tei
Zurückweisung;1;;;
