"id","value","property","lang","notes_lang","remove trailing space","correct to","variants"
027,Pottery documentation.,hasAppliedMethod,en,,,pottery documentation,
154,Pressrecht,hasSubject,de,,,Presserecht,
145,Preßrechtsverstoß,hasSubject,de,,,Presserechtsverstoß,
483,Princely County,hasSubject,en,,,princely county,Princely County
314,Principality,hasSubject,en,,,principality,
595,Privatrechtliche Vereinbarung,hasSubject,de,,,privatrechtliche Vereinbarung,
715,Protectorate,hasSubject,en,,,protectorate,
150,Province,hasSubject,en,,,province,
486,Provincial Government,hasSubject,en,,,provincial government,
420,Publizistisches Dokument,hasSubject,de,,,publizistisches Dokument,
547,Quarter,hasSubject,en,,,quarter,
456,Republic,hasSubject,en,,,republic,
721,rockshelter,hasSubject,en,,,rock shelter,
315,Seat,hasSubject,en,,,seat,
905,site and monument,hasSubject,en,,,"site, monument",
342,Sonstiger Materialitätstyp,hasSubject,de,,,sonstiger Materialitätstyp,
166,Sonstiger Rechtsbereich,hasSubject,de,,,sonstiger Rechtsbereich,
728,Soziale Fürsorge,hasSubject,de,,,soziale Fürsorge,
074,Speech,hasCategory,en,,,speech,
729,Squeezes,hasSubject,en,,,squeezes,
179,Statutory City,hasSubject,en,,,statutory city,
343,Streitige Zivilrechtssache,hasSubject,de,,,streitige Zivilrechtssache,
055,Structure from Motion (SfM),hasAppliedMethod,en,,,structure from motion (SfM),
197,Suburb,hasSubject,en,,,suburb,
073,Tabular Dataset,hasCategory,en,,,tabular dataset,
913,TEI-schema,hasSubject,en,,,TEI schema,
057,Terrestrischer Laserscan,hasAppliedMethod,de,,,terrestrischer Laserscan,
058,Terrestrisches Laserscanning (TLS),hasAppliedMethod,de,,,terrestrisches Laserscanning (TLS),
070,Text,hasCategory,en,,,text,
189,tschechoslowak. Staatsdienst,hasSubject,de,,,tschechoslowakischer Staatsdienst,
157,Typoskript mit handschirftlichen Überarbeitungen,hasSubject,de,,,Typoskript mit handschriftlichen Überarbeitungen,
394,Typoskript mit handschriftlichen Mittelung,hasSubject,de,,,Typoskript mit handschriftlicher Mitteilung,
937,Unautorisierte Aufführung,hasSubject,de,,,unautorisierte Aufführung,
938,Unbefugte Kolportage,hasSubject,de,,,unbefugte Kolportage,
939,unknown adm,hasSubject,en,,,unknown administrative unit,
489,Unstreitige Zivilrechtssache,hasSubject,de,,,unstreitige Zivilrechtssache,
740,Vereins- und Versammlungsfreiheit,hasSubject,de,,,"Vereinsfreiheit, Versammlungsfreiheit",
948,Viennese Dialectological School,hasSubject,en,,,Viennese dialectological school,
062,Virtuelle Rekonstruktion,hasAppliedMethod,de,,,virtuelle Rekonstruktion,
949,Voivodeship,hasSubject,en,,,voivodeship,
120,word tokenization,hasSubject,en,,,word tokenisation,word tokenization
748,Zeitun,hasSubject,de,,,Zeitung,
021,Photogrammetrie,hasAppliedMethod,de,,,,
024,Bauaufnahme,hasAppliedMethod,de,,,,
025,Fernerkundung,hasAppliedMethod,de,,,,
026,Luftbild,hasAppliedMethod,de,,,,
029,Survey,hasAppliedMethod,de,,,,
030,3D-Dokumentation,hasAppliedMethod,de,,,,
031,3D-Modellierung,hasAppliedMethod,de,,,,
034,Archäometrie,hasAppliedMethod,de,,,,
038,Geomagnetik,hasAppliedMethod,de,,,,
040,Geophysik,hasAppliedMethod,de,,,,
041,Georadar,hasAppliedMethod,de,,,,
043,Karten,hasAppliedMethod,de,,,,
045,Oberflächensurvey,hasAppliedMethod,de,,,,
051,Satellitenbild,hasAppliedMethod,de,,,,
061,Vermessung,hasAppliedMethod,de,,,,
081,Geschichte,hasSubject,de,,,,
082,Grundbuch,hasSubject,de,,,,
085,Brief,hasSubject,de,,,,
087,Durchschlag,hasSubject,de,,,,
088,Typoskript,hasSubject,de,,,,
091,Zwischenkriegszeit,hasSubject,de,,,,
096,Druck,hasSubject,de,,,,
097,Landgericht,hasSubject,de,,,,
100,Zeitungsartikel,hasSubject,de,,,,
102,Bezirksamt,hasSubject,de,,,,
105,Mappe,hasSubject,de,,,,
107,Originalmappe,hasSubject,de,,,,
108,Manuskript,hasSubject,de,,,,
109,Kopie,hasSubject,de,,,,
110,Durchschlag mit handschriftlichen Überarbeitungen,hasSubject,de,,,,
111,Aktenvermerk,hasSubject,de,,,,
113,Durchschlag mit handschriftlichen Annotationen,hasSubject,de,,,,
114,Typoskript mit handschriftlichen Annotationen,hasSubject,de,,,,
115,Beschluss,hasSubject,de,,,,
118,Antrag,hasSubject,de,,,,
121,Typoskript mit handschriftlichen Überarbeitungen,hasSubject,de,,,,
125,Privatanklagedelikt,hasSubject,de,,,,
127,Strafrecht,hasSubject,de,,,,
128,Buchgeschichte,hasSubject,de,,,,
129,Geschichte des Lesens,hasSubject,de,,,,
130,privater Buchbesitz,hasSubject,de,,,,
132,Pensionierung,hasSubject,de,,,,
133,Urteil,hasSubject,de,,,,
134,Benachrichtigung,hasSubject,de,,,,
138,Protokoll,hasSubject,de,,,,
140,Privatanklage,hasSubject,de,,,,
142,Ladung,hasSubject,de,,,,
144,Schriftsatz,hasSubject,de,,,,
149,Rückschein,hasSubject,de,,,,
153,Pressedelikt,hasSubject,de,,,,
156,amtsfreie Stadt,hasSubject,de,,,,
159,Verwaltung,hasSubject,de,,,,
160,Kreis,hasSubject,de,,,,
163,Mitbestimmung,hasSubject,de,,,,
168,Entwurf (jur.),hasSubject,de,,,,
169,Außergerichtliche Erledigung,hasSubject,de,,,,
171,Umschlag,hasSubject,de,,,,
172,Demokratisierung,hasSubject,de,,,,
175,Originalumschlag,hasSubject,de,,,,
176,Postkarte,hasSubject,de,,,,
178,Verständigung,hasSubject,de,,,,
181,Erhaltsbestätigung,hasSubject,de,,,,
184,Kostenfestsetzung,hasSubject,de,,,,
187,Berichtigung (Ausgang),hasSubject,de,,,,
190,Berufungsausführung,hasSubject,de,,,,
193,Mitteilung,hasSubject,de,,,,
194,Ehrenbeleidigung,hasSubject,de,,,,
199,Beschwerde,hasSubject,de,,,,
208,Repression,hasSubject,de,,,,
211,Vernehmung,hasSubject,de,,,,
214,zwischenstaatliche Verhandlung,hasSubject,de,,,,
216,Telegramm,hasSubject,de,,,,
217,Ausgang unklar,hasSubject,de,,,,
225,Gericht,hasSubject,de,,,,
226,Übersetzung,hasSubject,de,,,,
230,Klage,hasSubject,de,,,,
231,Verurteilung,hasSubject,de,,,,
232,Auftrag,hasSubject,de,,,,
237,Erklärung (jur.),hasSubject,de,,,,
238,Lohnforderung,hasSubject,de,,,,
239,Notiz,hasSubject,de,,,,
240,Personalvertretung,hasSubject,de,,,,
241,Ruhestand,hasSubject,de,,,,
242,Vorrückung,hasSubject,de,,,,
248,Staatsbedienstetenorganisationen,hasSubject,de,,,,
249,Berichtigung (jur.),hasSubject,de,,,,
251,zwischenstaatliche Vereinbarung,hasSubject,de,,,,
252,Landeskommissariat,hasSubject,de,,,,Landkommissariat
253,Bitte,hasSubject,de,,,,
255,Strafanzeige,hasSubject,de,,,,
256,Archivrecherchen,hasSubject,de,,,,
257,Beweisantrag,hasSubject,de,,,,
262,Forschungsgeschichte,hasSubject,de,,,,
263,Hügelgräber,hasSubject,de,,,,
264,Keramik,hasSubject,de,,,,
266,Lagervorstadt,hasSubject,de,,,,
267,Legionslager,hasSubject,de,,,,
268,Munizipium,hasSubject,de,,,,
269,Nekropole,hasSubject,de,,,,
270,Siedlungstopographie,hasSubject,de,,,,Siedlungstopografie
271,Streik,hasSubject,de,,,,
272,Surveyartefakte,hasSubject,de,,,,
273,Wasserversorgung,hasSubject,de,,,,
274,Beamtenorganisation,hasSubject,de,,,,
275,Druck mit handschriftlichen Annotationen,hasSubject,de,,,,
281,Sozialdemokratie,hasSubject,de,,,,
282,Berufungsanmeldung,hasSubject,de,,,,
283,Die Fackel,hasSubject,de,,,,
288,Urheberrechtsverletzung,hasSubject,de,,,,
289,Zivilrecht,hasSubject,de,,,,
290,Anklageschrift,hasSubject,de,,,,
292,Gewerkschaft,hasSubject,de,,,,
293,Beförderung,hasSubject,de,,,,
295,Ergänzung,hasSubject,de,,,,
296,Koalitionsfreiheit,hasSubject,de,,,,
297,Bescheid,hasSubject,de,,,,
298,Bestätigung,hasSubject,de,,,,
299,Bevollmächtiger,hasSubject,de,,,,
303,Äußerung,hasSubject,de,,,,
310,Erlagschein,hasSubject,de,,,,
311,Freispruch,hasSubject,de,,,,
313,Kostenaufstellung,hasSubject,de,,,,
316,Vergleich (Ausgang),hasSubject,de,,,,
317,Beleg (jur.),hasSubject,de,,,,
320,Ernennung,hasSubject,de,,,,
321,Griechenland,hasSubject,de,,,,
325,Lesbos,hasSubject,de,,,,
326,Medienhistorisches,hasSubject,de,,,,
327,Rechnung,hasSubject,de,,,,
328,Berufung,hasSubject,de,,,,
330,Deckblatt,hasSubject,de,,,,
344,Theater,hasSubject,de,,,,
345,Verzeichnis,hasSubject,de,,,,
346,Vollmacht,hasSubject,de,,,,
347,Ausbildung,hasSubject,de,,,,
348,Bundesländer,hasSubject,de,,,,
350,Föderalismus,hasSubject,de,,,,
351,Fotografien,hasSubject,de,,,,
352,Intertextualität,hasSubject,de,,,,
353,Kündigung,hasSubject,de,,,,
354,Literaturwissenschaft,hasSubject,de,,,,
355,Medienwissenschaft,hasSubject,de,,,,
356,Personalkommission,hasSubject,de,,,,
357,Rechtsgeschichte,hasSubject,de,,,,
358,Zeugenaussage,hasSubject,de,,,,
359,Abhandlung,hasSubject,de,,,,
360,Bericht,hasSubject,de,,,,
361,Betriebsrat,hasSubject,de,,,,
362,Burgfrieden,hasSubject,de,,,,
370,Friedensverhandlungen,hasSubject,de,,,,
371,Kassabestätigung,hasSubject,de,,,,
374,Konzept (jur.),hasSubject,de,,,,
378,Staatsangestelltenkammer,hasSubject,de,,,,
379,Ungleichbehandlung,hasSubject,de,,,,
380,Zahlungsauftrag,hasSubject,de,,,,
381,Zurücknahme,hasSubject,de,,,,
387,Gemeindewahlrecht,hasSubject,de,,,,
389,Lohnverhandlung,hasSubject,de,,,,
390,Militarismus,hasSubject,de,,,,
391,Privatrecht,hasSubject,de,,,,
392,Radiogramm,hasSubject,de,,,,
395,Vertrag,hasSubject,de,,,,
396,Zahlungseingangsbestätigung,hasSubject,de,,,,
397,Zeitung,hasSubject,de,,,,
398,Aktennotiz,hasSubject,de,,,,
399,Ansuchen,hasSubject,de,,,,
400,Aufstellung,hasSubject,de,,,,
404,Hofgericht,hasSubject,de,,,,
405,Kommissionsbezirk der Provinzstadt,hasSubject,de,,,,
408,18. Jahrhundert,hasSubject,de,,,,achtzehntes Jahrhundert
409,Abrechnung,hasSubject,de,,,,
410,Bibliographie,hasSubject,de,,,,
417,Korrespondenz,hasSubject,de,,,,
418,Liste (jur.),hasSubject,de,,,,
421,Rechtsnachfolge,hasSubject,de,,,,
422,Sozialgeschichte,hasSubject,de,,,,
423,Tirol,hasSubject,de,,,,
424,Versetzung,hasSubject,de,,,,
425,Versicherung,hasSubject,de,,,,
426,Vertrauensmänner,hasSubject,de,,,,
427,Anfrage,hasSubject,de,,,,
428,Anweisung,hasSubject,de,,,,
429,Aufforderung,hasSubject,de,,,,
430,Berufungsschrift,hasSubject,de,,,,
443,Einspruch,hasSubject,de,,,,
446,Gesandtenkonferenz,hasSubject,de,,,,
447,Gutschrift,hasSubject,de,,,,
448,Hofmark,hasSubject,de,,,,
450,Klagebeantwortung,hasSubject,de,,,,
452,Kostenbestimmungsbeschluss,hasSubject,de,,,,
453,Nachricht,hasSubject,de,,,,
458,Staatsangestelltenrat,hasSubject,de,,,,
459,Strafantrag,hasSubject,de,,,,
460,Straferkenntnis,hasSubject,de,,,,
461,Verlagswesen,hasSubject,de,,,,
462,Verwaltungsrecht,hasSubject,de,,,,
463,Zurückziehung der Klage,hasSubject,de,,,,
