id;value;qualification;property;lang;notes_lang;variants;singular form
376;Erörterung;;hasSubject;de;;;
377;Erpressung;;hasSubject;de;;;
378;Ersatzanspruch;;hasSubject;de;;;
380;Exekutionsausweis;;hasSubject;de;;;
381;Exekutionsbewilligung;;hasSubject;de;;;
382;Expensen-Note;;hasSubject;de;;;
383;Fachprüfung;;hasSubject;de;;;
384;falsche Zeugenaussage;;hasSubject;de;;;
385;Fernerkundung;;hasAppliedMethod;de;;;
387;Föderalismus;;hasSubject;de;;;
388;Forderung bezahlt;;hasSubject;de;;;
389;Forschungsgeschichte;;hasSubject;de;;;
390;Fortbildung;;hasSubject;de;;;
391;Fotografie;Material;hasSubject;de;;;
392;Fotografie;;hasSubject;de;;Photographie;
393;Fotografie;Objekt;hasSubject;de;;;
394;Fotografien;;hasSubject;de;;Photographien;Fotografie
395;französische Regierung;;hasSubject;de;;;
397;Freispruch;;hasSubject;de;;;
398;Friedensverhandlungen;;hasSubject;de;;;Friedensverhandlung
401;Fundbearbeitung;;hasSubject;de;;;
402;Fundfotos;;hasSubject;de;;;
403;Fundzeichnungen;;hasSubject;de;;;Fundzeichnung
404;Gedächtnisprotokoll;;hasSubject;de;;;
405;Gedicht;;hasSubject;de;;;
406;gefährliche Drohung;;hasSubject;de;;;
407;Geldbuße;;hasSubject;de;;;
408;Geldstrafe;;hasSubject;de;;;
409;Gemeindewahlrecht;;hasSubject;de;;;
410;Genfer Protokolle;;hasSubject;de;;;
412;GeoJSON-Datenset;;hasCategory;de;;;
414;Geomagnetik;;hasAppliedMethod;de;;;
416;Geophysik;;hasAppliedMethod;de;;;
417;Georadar;;hasAppliedMethod;de;;;
418;Gericht;;hasSubject;de;;;
419;Gesandtenkonferenz;;hasSubject;de;;;
420;Geschichte;;hasSubject;de;;;
421;Geschichte des Lesens;;hasSubject;de;;;
422;Gesteinsproben;;hasSubject;de;;;Gesteinsprobe
423;Gewerkschaft;;hasSubject;de;;;
425;Glacis;;hasSubject;de;;;
428;Grabungstagebuch;;hasSubject;de;;;
434;Gremium;;hasSubject;de;;;
435;Griechenland;;hasSubject;de;;;
436;Großdeutsche Volkspartei;;hasSubject;de;;;
438;Grundbuch;;hasSubject;de;;;
439;Gutachten;;hasSubject;de;;;
440;Gutschrift;;hasSubject;de;;;
448;Hofgericht;;hasSubject;de;;;
449;Hofmark;;hasSubject;de;;;
451;Honorar;;hasSubject;de;;;
452;Hügelgräber;;hasSubject;de;;;Hügelgrab
460;Indiskretion;;hasSubject;de;;;
461;Information;;hasSubject;de;;;
467;internationales Postrecht;;hasSubject;de;;;
468;Intertextualität;;hasSubject;de;;;
472;Jude;;hasSubject;de;;;
473;juristisches Dokument;;hasSubject;de;;;
487;Karten;;hasAppliedMethod, hasSubject;de;;;Karte
488;Kassabestätigung;;hasSubject;de;;;
489;Kassazettel;;hasSubject;de;;;
490;Keramik;;hasSubject;de;;;
492;Klage;;hasSubject;de;;;
493;Klage wegen Forderung;;hasSubject;de;;;
494;Klagebeantwortung;;hasSubject;de;;;
495;Klagsrückziehung;;hasSubject;de;;;
496;Koalitionsfreiheit;;hasSubject;de;;;
497;Koalitionsrecht;;hasSubject;de;;;
498;Kommissionsbezirk der Provinzstadt;;hasSubject;de;;;
499;Kongress von Aachen;;hasSubject;de;;;
500;Kongress von Laibach;;hasSubject;de;;;
501;Kongress von Troppau;;hasSubject;de;;;
502;Kongress von Verona;;hasSubject;de;;;
503;Kongressakten;;hasSubject;de;;;Kongressakt
504;Konterrevolution;;hasSubject;de;;;
505;kontrolliertes Vokabular;;hasCategory;de;;;
506;Konzept;jur.;hasSubject;de;;;
507;Kopie;;hasSubject;de;;;
508;Korpus;;hasCategory;de;;;
509;Korrespondenz;;hasSubject;de;;;
510;Kostenaufstellung;;hasSubject;de;;;
511;Kostenbestimmungsbeschluss;;hasSubject;de;;;
512;Kostenfestsetzung;;hasSubject;de;;;
513;Kostennote;;hasSubject;de;;;
514;Kreis;;hasSubject;de;;;
515;Kronos-Verlag;;hasSubject;de;;Kronos Verlag;
516;Kündigung;;hasSubject;de;;;
517;Ladung;;hasSubject;de;;;
518;Lagervorstadt;;hasSubject;de;;;
519;Landeskommissariat;;hasSubject;de;;Landkommissariat;
520;Landgericht;;hasSubject;de;;;
527;Laufbahn;;hasSubject;de;;;
528;Laufbahn;Folgen;hasSubject;de;;;
529;Lebensumstände;;hasSubject;de;;;Lebensumstand
530;Legionslager;;hasSubject;de;;;
536;Lesbos;;hasSubject;de;;;
537;Lesezeichen;;hasSubject;de;;;
538;Leumundsnote;;hasSubject;de;;;
541;lexikalische Ressource;;hasCategory;de;;;
544;Liste;jur.;hasSubject;de;;;
545;Liste;;hasSubject;de;;;
546;Liste;korr.;hasSubject;de;;;
547;literarische Berichtigung;;hasSubject;de;;;
548;literarischer Text;;hasSubject;de;;;
549;literarisches Werk;;hasSubject;de;;;
550;Literaturwissenschaft;;hasSubject;de;;;
552;Lohnforderung;;hasSubject;de;;;
553;Lohnverhandlung;;hasSubject;de;;;
554;Lokalpolitik;;hasSubject;de;;;
556;Luftbild;;hasAppliedMethod;de;;;
557;Luftkrieg;;hasSubject;de;;;
559;Mächtekongress;;hasSubject;de;;;
560;Mächtekonzert;;hasSubject;de;;;
561;Magnetik;;hasSubject;de;;;
563;Manuskript;;hasSubject;de;;;
564;Manuskript mit handschriftlichen Annotationen;;hasSubject;de;;;
565;Manuskript mit handschriftlicher Mitteilung;;hasSubject;de;;;
566;Mappe;;hasSubject;de;;;
571;Markenrechtsverletzung;;hasSubject;de;;;
572;Marktgericht;;hasSubject;de;;;
574;Medienhistorisches;;hasSubject;de;;;
575;Medienwissenschaft;;hasSubject;de;;;
580;Memorandum;;hasSubject;de;;;
582;Militarismus;;hasSubject;de;;;
587;Mitbestimmung;;hasSubject;de;;;
588;Mitschrift;;hasSubject;de;;;
589;Mitschriften;;hasSubject;de;;;Mitschrift
590;Mitteilung;;hasSubject;de;;;
592;Modell;;hasCategory;de;;;
593;moderner Geist;;hasSubject;de;;;
594;Monarchenkongresse;;hasSubject;de;;;
596;Mörtelproben;;hasSubject;de;;;Mörtelprobe
598;Munizipium;;hasSubject;de;;;
599;Nachkriegskrise;;hasSubject;de;;;
600;Nachrede;;hasSubject;de;;;
601;Nachricht;;hasSubject;de;;;
602;Namensrechtsverletzung;;hasSubject;de;;;
603;Nationalität;;hasSubject;de;;;
604;Nationalsozialismus;;hasSubject;de;;;
605;Nekropole;;hasSubject;de;;;
610;nicht verfolgt;;hasSubject;de;;;
612;Notiz;;hasSubject;de;;;
613;Oberflächensurvey;;hasAppliedMethod;de;;;
617;Ontologie;;hasSubject;de;;;
620;Opferbereitschaft;;hasSubject;de;;;
622;Originalmappe;;hasSubject;de;;;
623;Originalumschlag;;hasSubject;de;;;
625;Österreich 1849-1860;;hasSubject;de;;;
627;Pamphlet;;hasSubject;de;;;
632;Pauperisierung;;hasSubject;de;;;
633;Pensionierung;;hasSubject;de;;;
635;Personalkommission;;hasSubject;de;;;
636;Personalpolitik;;hasSubject;de;;;
637;Personalrat;;hasSubject;de;;;
638;Personalvertretung;;hasSubject;de;;;
639;Persönlichkeitsrechtsverletzung;;hasSubject;de;;;
641;Pfleggericht;;hasSubject;de;;;
642;Phonogrammarchiv;;hasSubject;de;;;
643;Photogrammetrie;;hasAppliedMethod;de;;;
